umbral,top_k,cobertura_pct,acierto_doc_pct,acierto_cat_pct,chunks_validos_prom,latencia_ms
0.35,3,94.1,58.8,70.6,11.47,84.0
0.35,4,94.1,58.8,70.6,11.47,84.0
0.35,5,94.1,58.8,70.6,11.47,84.0
0.36,3,94.1,58.8,70.6,12.35,84.0
0.36,4,94.1,58.8,70.6,12.35,84.0
0.36,5,94.1,58.8,70.6,12.35,84.0
0.37,3,94.1,58.8,70.6,12.82,84.0
0.37,4,94.1,58.8,70.6,12.82,84.0
0.37,5,94.1,58.8,70.6,12.82,84.0
0.38,3,94.1,58.8,70.6,13.18,84.0
0.38,4,94.1,58.8,70.6,13.18,84.0
0.38,5,94.1,58.8,70.6,13.18,84.0
0.39,3,100.0,58.8,76.5,13.71,84.0
0.39,4,100.0,58.8,76.5,13.71,84.0
0.39,5,100.0,58.8,76.5,13.71,84.0
0.40,3,100.0,58.8,76.5,14.12,84.0
0.40,4,100.0,58.8,76.5,14.12,84.0
0.40,5,100.0,58.8,76.5,14.12,84.0
0.41,3,100.0,58.8,76.5,14.18,84.0
0.41,4,100.0,58.8,76.5,14.18,84.0
0.41,5,100.0,58.8,76.5,14.18,84.0
0.42,3,100.0,58.8,76.5,14.18,84.0
0.42,4,100.0,58.8,76.5,14.18,84.0
0.42,5,100.0,58.8,76.5,14.18,84.0
0.43,3,100.0,58.8,76.5,14.18,84.0
0.43,4,100.0,58.8,76.5,14.18,84.0
0.43,5,100.0,58.8,76.5,14.18,84.0
0.44,3,100.0,58.8,76.5,14.24,84.0
0.44,4,100.0,58.8,76.5,14.24,84.0
0.44,5,100.0,58.8,76.5,14.24,84.0
0.45,3,100.0,58.8,76.5,14.24,84.0
0.45,4,100.0,58.8,76.5,14.24,84.0
0.45,5,100.0,58.8,76.5,14.24,84.0
